employee_id,gender,annual_salary_amount_in_usd,job_experience,job_pay_level,full_or_part_time,hourly_or_salary,job_family_group,job_continent,pay_gap_perc
100650518,Female,45000.0,2,Second Year Associate,Full time,Salary,Client Strategy,Americas,6.59
100362807,Male,41644.08,9,Team Lead,Full time,Salary,Catering,Oceania,-2.88
100568527,Female,42134.82,5,Junior Associate,Full time,Salary,Client Strategy,Europe,6.59
100296166,Female,43667.64,6,Team Lead,Full time,Salary,Catering,Asia,-2.88
100825514,Female,63750.0,7,Senior Associate,Full time,Salary,Graphic Design,Americas,27.77
100088896,Female,82500.0,9,Team Lead,Full time,Salary,Technology Services,Americas,16.17
100626372,Male,49500.0,2,Junior Associate,Full time,Salary,Catering,Americas,-2.88
100874112,Female,113069.03,17,Manger II,Full time,Salary,Technology Services,Asia,16.17
100782843,Female,21115.49,4,Junior Associate,Full time,Salary,Customer Experience,Americas,10.48
100290858,Female,67500.0,8,Junior Associate,Full time,Salary,Customer Experience,Americas,10.48
100054254,Male,45880.13,6,Junior Associate,Full time,Salary,Catering,Europe,-2.88
100903250,Female,112500.0,4,Senior Associate,Full time,Salary,R&D,Americas,-10.52
100172419,Male,51750.0,8,Junior Associate,Full time,Salary,Research,Americas,0.0
100085171,Male,25910.98,7,Entry Level,Full time,Hourly,Research,Americas,0.0
100348612,Male,93750.0,14,Team Lead,Full time,Salary,Strategy,Americas,34.74
100771425,Female,93750.0,24,Team Lead,Full time,Salary,Expansion,Americas,17.29
100891145,Male,75000.0,21,Team Lead,Full time,Salary,Client Strategy,Americas,6.59
100316806,Female,25911.6,39,Entry Level,Full time,Hourly,Research,Americas,0.0
100962011,Male,50700.0,3,Junior Associate,Full time,Hourly,Catering,Americas,-2.88
100036657,Female,57937.5,8,Junior Associate,Full time,Salary,Customer Experience,Americas,10.48
100582293,Male,21840.0,4,Entry Level,Full time,Hourly,Catering,Americas,-2.88
100811509,Male,182850.0,12,Manger II,Full time,Salary,Technology Services,Americas,16.17
100340274,Male,98314.57,28,Manger II,Full time,Salary,Government Consulting,Europe,0.0
100087566,Male,51000.0,8,Junior Associate,Full time,Salary,Government Consulting,Americas,0.0
100575155,Female,55617.96,8,Senior Associate,Full time,Salary,Strategy,Europe,34.74
100810978,Male,60000.0,2,Second Year Associate,Full time,Salary,Investment,Americas,22.35
100272700,Female,56179.76,14,Senior Associate,Full time,Salary,Research,Europe,0.0
100125182,Female,57000.0,1,Second Year Associate,Full time,Salary,Customer Experience,Americas,10.48
100038932,Female,123750.0,8,Manager,Full time,Salary,R&D,Americas,-10.52
100638721,Male,52500.0,11,Junior Associate,Full time,Salary,Catering,Americas,-2.88
100623614,Male,24102.0,6,Entry Level,Full time,Hourly,Research,Americas,0.0
100837942,Female,258375.0,16,Director,Full time,Salary,Strategy,Americas,34.74
100264419,Male,150000.0,24,Manger II,Full time,Salary,Technology Services,Americas,16.17
100078611,Female,97500.0,9,Senior Associate,Full time,Salary,Technology Services,Americas,16.17
100887818,Male,52500.0,18,Junior Associate,Full time,Salary,Client Strategy,Americas,6.59
100607050,Male,82500.0,6,Team Lead,Full time,Salary,Client Strategy,Americas,6.59
100941813,Male,36224.98,6,Junior Associate,Full time,Salary,Client Techology,Europe,-2.01
100978298,Female,63112.5,6,Senior Associate,Full time,Salary,Graphic Design,Americas,27.77
100125326,Female,59699.39,7,Team Lead,Full time,Salary,Catering,Americas,-2.88
100641082,Female,16661.99,18,Senior Associate,Full time,Salary,Customer Experience,Americas,10.48
100128727,Male,38664.8,4,Manager,Full time,Salary,Patent Law,Americas,-16.4
100269515,Female,76500.0,8,Manager,Full time,Salary,Graphic Design,Americas,27.77
100794622,Male,74025.32,12,Senior Associate,Full time,Salary,Expansion,Europe,17.29
100895121,Female,82497.75,6,Team Lead,Full time,Salary,Customer Experience,Americas,10.48
100621109,Male,25910.82,22,Entry Level,Full time,Hourly,Research,Americas,0.0
100970884,Female,51498.11,4,Junior Associate,Full time,Salary,Expansion,Europe,17.29
100416515,Male,71250.0,11,Team Lead,Full time,Salary,Client Strategy,Americas,6.59
100771507,Female,86250.0,12,Team Lead,Full time,Salary,Customer Experience,Americas,10.48
100557910,Female,61875.0,7,Junior Associate,Full time,Salary,Graphic Design,Americas,27.77
100008091,Male,90000.0,7,Second Year Associate,Full time,Salary,Technology Services,Americas,16.17
100943555,Male,10711.28,5,Second Year Associate,Full time,Salary,Catering,Americas,-2.88
100502809,Male,84269.63,14,Team Lead,Full time,Salary,Client Strategy,Europe,6.59
100626005,Female,50212.5,6,Second Year Associate,Full time,Salary,Strategy,Americas,34.74
100323261,Female,68352.04,32,Junior Associate,Full time,Salary,Customer Experience,Europe,10.48
100186642,Male,46800.0,9,Junior Associate,Part time,Hourly,Government Consulting,Americas,0.0
100119541,Male,100425.0,6,Team Lead,Full time,Salary,Strategy,Americas,34.74
